body,frequency,rank,gender
CATHRYN,0.009,939,Female
LELIA,0.009,940,Female
CASANDRA,0.009,941,Female
BRIDGETT,0.009,942,Female
ANGELITA,0.009,943,Female
JANNIE,0.009,944,Female
DIONNE,0.009,945,Female
ANNMARIE,0.009,946,Female
KATINA,0.009,947,Female
BERYL,0.009,948,Female
PHOEBE,0.009,949,Female
MILLICENT,0.009,950,Female
KATHERYN,0.009,951,Female
DIANN,0.009,952,Female
CARISSA,0.009,953,Female
MARYELLEN,0.009,954,Female
LIZ,0.009,955,Female
LAURI,0.009,956,Female
HELGA,0.009,957,Female
GILDA,0.009,958,Female
ADRIAN,0.009,959,Female
RHEA,0.009,960,Female
MARQUITA,0.009,961,Female
HOLLIE,0.009,962,Female
TISHA,0.009,963,Female
TAMERA,0.009,964,Female
ANGELIQUE,0.009,965,Female
FRANCESCA,0.009,966,Female
BRITNEY,0.009,967,Female
KAITLIN,0.009,968,Female
LOLITA,0.009,969,Female
FLORINE,0.009,970,Female
ROWENA,0.009,971,Female
REYNA,0.009,972,Female
TWILA,0.009,973,Female
FANNY,0.009,974,Female
JANELL,0.009,975,Female
INES,0.009,976,Female
CONCETTA,0.009,977,Female
BERTIE,0.009,978,Female
ALBA,0.009,979,Female
BRIGITTE,0.009,980,Female
ALYSON,0.009,981,Female
VONDA,0.008,982,Female
PANSY,0.008,983,Female
ELBA,0.008,984,Female
NOELLE,0.008,985,Female
LETITIA,0.008,986,Female
KITTY,0.008,987,Female
DEANN,0.008,988,Female
BRANDIE,0.008,989,Female
LOUELLA,0.008,990,Female
LETA,0.008,991,Female
FELECIA,0.008,992,Female
SHARLENE,0.008,993,Female
LESA,0.008,994,Female
BEVERLEY,0.008,995,Female
ROBERT,0.008,996,Female
ISABELLA,0.008,997,Female
HERMINIA,0.008,998,Female
TERRA,0.008,999,Female
CELINA,0.008,1000,Female
TORI,0.008,1001,Female
OCTAVIA,0.008,1002,Female
JADE,0.008,1003,Female
DENICE,0.008,1004,Female
GERMAINE,0.008,1005,Female
SIERRA,0.008,1006,Female
MICHELL,0.008,1007,Female
CORTNEY,0.008,1008,Female
NELLY,0.008,1009,Female
DORETHA,0.008,1010,Female
SYDNEY,0.008,1011,Female
DEIDRA,0.008,1012,Female
MONIKA,0.008,1013,Female
LASHONDA,0.008,1014,Female
JUDI,0.008,1015,Female
CHELSEY,0.008,1016,Female
ANTIONETTE,0.008,1017,Female
MARGOT,0.008,1018,Female
BOBBY,0.008,1019,Female
ADELAIDE,0.008,1020,Female
NAN,0.008,1021,Female
LEEANN,0.008,1022,Female
ELISHA,0.008,1023,Female
DESSIE,0.008,1024,Female
LIBBY,0.008,1025,Female
KATHI,0.008,1026,Female
GAYLA,0.008,1027,Female
LATANYA,0.008,1028,Female
MINA,0.008,1029,Female
MELLISA,0.008,1030,Female
KIMBERLEE,0.008,1031,Female
JASMIN,0.008,1032,Female
RENAE,0.008,1033,Female
ZELDA,0.008,1034,Female
ELDA,0.008,1035,Female
MA,0.008,1036,Female
JUSTINA,0.008,1037,Female
GUSSIE,0.008,1038,Female
EMILIE,0.008,1039,Female
CAMILLA,0.008,1040,Female
ABBIE,0.008,1041,Female
ROCIO,0.008,1042,Female
KAITLYN,0.008,1043,Female
JESSE,0.008,1044,Female
EDYTHE,0.008,1045,Female
ASHLEIGH,0.008,1046,Female
SELINA,0.008,1047,Female
LAKESHA,0.008,1048,Female
GERI,0.008,1049,Female
ALLENE,0.008,1050,Female
PAMALA,0.008,1051,Female
MICHAELA,0.008,1052,Female
DAYNA,0.008,1053,Female
CARYN,0.008,1054,Female
ROSALIA,0.008,1055,Female
SUN,0.007,1056,Female
JACQULINE,0.007,1057,Female
REBECA,0.007,1058,Female
MARYBETH,0.007,1059,Female
KRYSTLE,0.007,1060,Female
IOLA,0.007,1061,Female
DOTTIE,0.007,1062,Female
BENNIE,0.007,1063,Female
BELLE,0.007,1064,Female
AUBREY,0.007,1065,Female
GRISELDA,0.007,1066,Female
ERNESTINA,0.007,1067,Female
ELIDA,0.007,1068,Female
ADRIANNE,0.007,1069,Female
DEMETRIA,0.007,1070,Female
DELMA,0.007,1071,Female
CHONG,0.007,1072,Female
JAQUELINE,0.007,1073,Female
DESTINY,0.007,1074,Female
ARLEEN,0.007,1075,Female
VIRGINA,0.007,1076,Female
RETHA,0.007,1077,Female
FATIMA,0.007,1078,Female
TILLIE,0.007,1079,Female
ELEANORE,0.007,1080,Female
CARI,0.007,1081,Female
TREVA,0.007,1082,Female
BIRDIE,0.007,1083,Female
WILHELMINA,0.007,1084,Female
ROSALEE,0.007,1085,Female
MAURINE,0.007,1086,Female
LATRICE,0.007,1087,Female
YONG,0.007,1088,Female
JENA,0.007,1089,Female
TARYN,0.007,1090,Female
ELIA,0.007,1091,Female
DEBBY,0.007,1092,Female
MAUDIE,0.007,1093,Female
JEANNA,0.007,1094,Female
DELILAH,0.007,1095,Female
CATRINA,0.007,1096,Female
SHONDA,0.007,1097,Female
HORTENCIA,0.007,1098,Female
THEODORA,0.007,1099,Female
TERESITA,0.007,1100,Female
ROBBIN,0.007,1101,Female
DANETTE,0.007,1102,Female
MARYJANE,0.007,1103,Female
FREDDIE,0.007,1104,Female
DELPHINE,0.007,1105,Female
BRIANNE,0.007,1106,Female
NILDA,0.007,1107,Female
DANNA,0.007,1108,Female
CINDI,0.007,1109,Female
BESS,0.007,1110,Female
IONA,0.007,1111,Female
HANNA,0.007,1112,Female
ARIEL,0.007,1113,Female
WINONA,0.007,1114,Female
VIDA,0.007,1115,Female
ROSITA,0.007,1116,Female
MARIANNA,0.007,1117,Female
WILLIAM,0.007,1118,Female
RACHEAL,0.007,1119,Female
GUILLERMINA,0.007,1120,Female
ELOISA,0.007,1121,Female
CELESTINE,0.007,1122,Female
CAREN,0.007,1123,Female
MALISSA,0.007,1124,Female
LONA,0.007,1125,Female
CHANTEL,0.007,1126,Female
SHELLIE,0.007,1127,Female
MARISELA,0.007,1128,Female
LEORA,0.007,1129,Female
AGATHA,0.007,1130,Female
SOLEDAD,0.007,1131,Female
MIGDALIA,0.007,1132,Female
IVETTE,0.007,1133,Female
CHRISTEN,0.007,1134,Female
ATHENA,0.007,1135,Female
JANEL,0.007,1136,Female
CHLOE,0.007,1137,Female
VEDA,0.007,1138,Female
PATTIE,0.007,1139,Female
TESSIE,0.007,1140,Female
TERA,0.007,1141,Female
MARILYNN,0.007,1142,Female
LUCRETIA,0.007,1143,Female
KARRIE,0.007,1144,Female
DINAH,0.007,1145,Female
DANIELA,0.007,1146,Female
ALECIA,0.007,1147,Female
ADELINA,0.007,1148,Female
VERNICE,0.007,1149,Female
SHIELA,0.007,1150,Female
PORTIA,0.007,1151,Female
MERRY,0.007,1152,Female
LASHAWN,0.007,1153,Female
DEVON,0.007,1154,Female
DARA,0.007,1155,Female
TAWANA,0.007,1156,Female
OMA,0.007,1157,Female
VERDA,0.007,1158,Female
CHRISTIN,0.007,1159,Female
ALENE,0.007,1160,Female
ZELLA,0.006,1161,Female
SANDI,0.006,1162,Female
RAFAELA,0.006,1163,Female
MAYA,0.006,1164,Female
KIRA,0.006,1165,Female
CANDIDA,0.006,1166,Female
ALVINA,0.006,1167,Female
SUZAN,0.006,1168,Female
SHAYLA,0.006,1169,Female
LYN,0.006,1170,Female
LETTIE,0.006,1171,Female
ALVA,0.006,1172,Female
SAMATHA,0.006,1173,Female
ORALIA,0.006,1174,Female
MATILDE,0.006,1175,Female
MADONNA,0.006,1176,Female
LARISSA,0.006,1177,Female
VESTA,0.006,1178,Female
RENITA,0.006,1179,Female
INDIA,0.006,1180,Female
DELOIS,0.006,1181,Female
SHANDA,0.006,1182,Female
PHILLIS,0.006,1183,Female
LORRI,0.006,1184,Female
ERLINDA,0.006,1185,Female
CRUZ,0.006,1186,Female
CATHRINE,0.006,1187,Female
BARB,0.006,1188,Female
ZOE,0.006,1189,Female
ISABELL,0.006,1190,Female
IONE,0.006,1191,Female
GISELA,0.006,1192,Female
CHARLIE,0.006,1193,Female
VALENCIA,0.006,1194,Female
ROXANNA,0.006,1195,Female
MAYME,0.006,1196,Female
KISHA,0.006,1197,Female
ELLIE,0.006,1198,Female
MELLISSA,0.006,1199,Female
DORRIS,0.006,1200,Female
DALIA,0.006,1201,Female
BELLA,0.006,1202,Female
ANNETTA,0.006,1203,Female
ZOILA,0.006,1204,Female
RETA,0.006,1205,Female
REINA,0.006,1206,Female
LAURETTA,0.006,1207,Female
KYLIE,0.006,1208,Female
CHRISTAL,0.006,1209,Female
PILAR,0.006,1210,Female
CHARLA,0.006,1211,Female
ELISSA,0.006,1212,Female
TIFFANI,0.006,1213,Female
TANA,0.006,1214,Female
PAULINA,0.006,1215,Female
LEOTA,0.006,1216,Female
BREANNA,0.006,1217,Female
JAYME,0.006,1218,Female
CARMEL,0.006,1219,Female
VERNELL,0.006,1220,Female
TOMASA,0.006,1221,Female
MANDI,0.006,1222,Female
DOMINGA,0.006,1223,Female
SANTA,0.006,1224,Female
MELODIE,0.006,1225,Female
LURA,0.006,1226,Female
ALEXA,0.006,1227,Female
TAMELA,0.006,1228,Female
RYAN,0.006,1229,Female
MIRNA,0.006,1230,Female
KERRIE,0.006,1231,Female
VENUS,0.006,1232,Female
NOEL,0.006,1233,Female
FELICITA,0.006,1234,Female
CRISTY,0.006,1235,Female
CARMELITA,0.006,1236,Female
BERNIECE,0.006,1237,Female
ANNEMARIE,0.006,1238,Female
TIARA,0.006,1239,Female
ROSEANNE,0.006,1240,Female
MISSY,0.006,1241,Female
CORI,0.006,1242,Female
ROXANA,0.006,1243,Female
PRICILLA,0.006,1244,Female
KRISTAL,0.006,1245,Female
JUNG,0.006,1246,Female
ELYSE,0.006,1247,Female
HAYDEE,0.006,1248,Female
ALETHA,0.006,1249,Female
BETTINA,0.006,1250,Female
MARGE,0.006,1251,Female
GILLIAN,0.006,1252,Female
FILOMENA,0.006,1253,Female
CHARLES,0.006,1254,Female
ZENAIDA,0.006,1255,Female
HARRIETTE,0.006,1256,Female
CARIDAD,0.006,1257,Female
VADA,0.006,1258,Female
UNA,0.006,1259,Female
ARETHA,0.006,1260,Female
PEARLINE,0.006,1261,Female
MARJORY,0.006,1262,Female
MARCELA,0.006,1263,Female
FLOR,0.006,1264,Female
EVETTE,0.006,1265,Female
ELOUISE,0.006,1266,Female
ALINA,0.006,1267,Female
TRINIDAD,0.006,1268,Female
DAVID,0.006,1269,Female
DAMARIS,0.006,1270,Female
CATHARINE,0.006,1271,Female
CARROLL,0.006,1272,Female
BELVA,0.006,1273,Female
NAKIA,0.005,1274,Female
MARLENA,0.005,1275,Female
LUANNE,0.005,1276,Female
LORINE,0.005,1277,Female
KARON,0.005,1278,Female
DORENE,0.005,1279,Female
DANITA,0.005,1280,Female
BRENNA,0.005,1281,Female
TATIANA,0.005,1282,Female
SAMMIE,0.005,1283,Female
LOUANN,0.005,1284,Female
LOREN,0.005,1285,Female
JULIANNA,0.005,1286,Female
ANDRIA,0.005,1287,Female
PHILOMENA,0.005,1288,Female
LUCILA,0.005,1289,Female
LEONORA,0.005,1290,Female
DOVIE,0.005,1291,Female
ROMONA,0.005,1292,Female
MIMI,0.005,1293,Female
JACQUELIN,0.005,1294,Female
GAYE,0.005,1295,Female
TONJA,0.005,1296,Female
MISTI,0.005,1297,Female
JOE,0.005,1298,Female
GENE,0.005,1299,Female
CHASTITY,0.005,1300,Female
STACIA,0.005,1301,Female
ROXANN,0.005,1302,Female
MICAELA,0.005,1303,Female
NIKITA,0.005,1304,Female
MEI,0.005,1305,Female
VELDA,0.005,1306,Female
MARLYS,0.005,1307,Female
JOHNNA,0.005,1308,Female
AURA,0.005,1309,Female
LAVERN,0.005,1310,Female
IVONNE,0.005,1311,Female
HAYLEY,0.005,1312,Female
NICKI,0.005,1313,Female
MAJORIE,0.005,1314,Female
HERLINDA,0.005,1315,Female
GEORGE,0.005,1316,Female
ALPHA,0.005,1317,Female
YADIRA,0.005,1318,Female
PERLA,0.005,1319,Female
GREGORIA,0.005,1320,Female
DANIEL,0.005,1321,Female
ANTONETTE,0.005,1322,Female
SHELLI,0.005,1323,Female
MOZELLE,0.005,1324,Female
MARIAH,0.005,1325,Female
JOELLE,0.005,1326,Female
CORDELIA,0.005,1327,Female
JOSETTE,0.005,1328,Female
CHIQUITA,0.005,1329,Female
TRISTA,0.005,1330,Female
LOUIS,0.005,1331,Female
LAQUITA,0.005,1332,Female
GEORGIANA,0.005,1333,Female
CANDI,0.005,1334,Female
SHANON,0.005,1335,Female
LONNIE,0.005,1336,Female
HILDEGARD,0.005,1337,Female
CECIL,0.005,1338,Female
VALENTINA,0.005,1339,Female
STEPHANY,0.005,1340,Female
MAGDA,0.005,1341,Female
KAROL,0.005,1342,Female
GERRY,0.005,1343,Female
GABRIELLA,0.005,1344,Female
TIANA,0.005,1345,Female
ROMA,0.005,1346,Female
RICHELLE,0.005,1347,Female
RAY,0.005,1348,Female
PRINCESS,0.005,1349,Female
OLETA,0.005,1350,Female
JACQUE,0.005,1351,Female
IDELLA,0.005,1352,Female
ALAINA,0.005,1353,Female
SUZANNA,0.005,1354,Female
JOVITA,0.005,1355,Female
BLAIR,0.005,1356,Female
TOSHA,0.005,1357,Female
RAVEN,0.005,1358,Female
NEREIDA,0.005,1359,Female
MARLYN,0.005,1360,Female
KYLA,0.005,1361,Female
JOSEPH,0.005,1362,Female
DELFINA,0.005,1363,Female
TENA,0.005,1364,Female
STEPHENIE,0.005,1365,Female
SABINA,0.005,1366,Female
NATHALIE,0.005,1367,Female
MARCELLE,0.005,1368,Female
GERTIE,0.005,1369,Female
DARLEEN,0.005,1370,Female
THEA,0.005,1371,Female
SHARONDA,0.005,1372,Female
SHANTEL,0.005,1373,Female
BELEN,0.005,1374,Female
VENESSA,0.005,1375,Female
ROSALINA,0.005,1376,Female
ONA,0.005,1377,Female
GENOVEVA,0.005,1378,Female
COREY,0.005,1379,Female
CLEMENTINE,0.005,1380,Female
ROSALBA,0.005,1381,Female
RENATE,0.005,1382,Female
RENATA,0.005,1383,Female
MI,0.005,1384,Female
IVORY,0.005,1385,Female
GEORGIANNA,0.005,1386,Female
FLOY,0.005,1387,Female
DORCAS,0.005,1388,Female
ARIANA,0.005,1389,Female
TYRA,0.005,1390,Female
THEDA,0.005,1391,Female
MARIAM,0.005,1392,Female
JULI,0.005,1393,Female
JESICA,0.005,1394,Female
DONNIE,0.005,1395,Female
VIKKI,0.005,1396,Female
VERLA,0.005,1397,Female
ROSELYN,0.005,1398,Female
MELVINA,0.005,1399,Female
JANNETTE,0.005,1400,Female
GINNY,0.005,1401,Female
DEBRAH,0.005,1402,Female
CORRIE,0.005,1403,Female
ASIA,0.005,1404,Female
VIOLETA,0.005,1405,Female
MYRTIS,0.005,1406,Female
LATRICIA,0.005,1407,Female
COLLETTE,0.005,1408,Female
CHARLEEN,0.005,1409,Female
ANISSA,0.005,1410,Female
VIVIANA,0.005,1411,Female
TWYLA,0.005,1412,Female
PRECIOUS,0.005,1413,Female
NEDRA,0.005,1414,Female
LATONIA,0.005,1415,Female
LAN,0.005,1416,Female
HELLEN,0.005,1417,Female
FABIOLA,0.005,1418,Female
ANNAMARIE,0.005,1419,Female
ADELL,0.005,1420,Female
SHARYN,0.005,1421,Female
CHANTAL,0.005,1422,Female
NIKI,0.005,1423,Female
MAUD,0.005,1424,Female
LIZETTE,0.005,1425,Female
LINDY,0.005,1426,Female
KIA,0.005,1427,Female
KESHA,0.005,1428,Female
JEANA,0.005,1429,Female
DANELLE,0.005,1430,Female
CHARLINE,0.005,1431,Female
CHANEL,0.005,1432,Female
CARROL,0.005,1433,Female
VALORIE,0.005,1434,Female
LIA,0.005,1435,Female
DORTHA,0.005,1436,Female
CRISTAL,0.005,1437,Female
SUNNY,0.005,1438,Female
LEONE,0.005,1439,Female
LEILANI,0.005,1440,Female
GERRI,0.005,1441,Female
DEBI,0.005,1442,Female
ANDRA,0.005,1443,Female
KESHIA,0.005,1444,Female
IMA,0.005,1445,Female
EULALIA,0.005,1446,Female
EASTER,0.005,1447,Female
DULCE,0.005,1448,Female
NATIVIDAD,0.004,1449,Female
LINNIE,0.004,1450,Female
KAMI,0.004,1451,Female
GEORGIE,0.004,1452,Female
CATINA,0.004,1453,Female
BROOK,0.004,1454,Female
ALDA,0.004,1455,Female
WINNIFRED,0.004,1456,Female
SHARLA,0.004,1457,Female
RUTHANN,0.004,1458,Female
MEAGHAN,0.004,1459,Female
MAGDALENE,0.004,1460,Female
LISSETTE,0.004,1461,Female
ADELAIDA,0.004,1462,Female
VENITA,0.004,1463,Female
TRENA,0.004,1464,Female
SHIRLENE,0.004,1465,Female
SHAMEKA,0.004,1466,Female
ELIZEBETH,0.004,1467,Female
DIAN,0.004,1468,Female
SHANTA,0.004,1469,Female
MICKEY,0.004,1470,Female
LATOSHA,0.004,1471,Female
CARLOTTA,0.004,1472,Female
WINDY,0.004,1473,Female
SOON,0.004,1474,Female
ROSINA,0.004,1475,Female
MARIANN,0.004,1476,Female
LEISA,0.004,1477,Female
JONNIE,0.004,1478,Female
DAWNA,0.004,1479,Female
CATHIE,0.004,1480,Female
BILLY,0.004,1481,Female
ASTRID,0.004,1482,Female
SIDNEY,0.004,1483,Female
LAUREEN,0.004,1484,Female
JANEEN,0.004,1485,Female
HOLLI,0.004,1486,Female
FAWN,0.004,1487,Female
VICKEY,0.004,1488,Female
TERESSA,0.004,1489,Female
SHANTE,0.004,1490,Female
RUBYE,0.004,1491,Female
MARCELINA,0.004,1492,Female
CHANDA,0.004,1493,Female
CARY,0.004,1494,Female
TERESE,0.004,1495,Female
SCARLETT,0.004,1496,Female
MARTY,0.004,1497,Female
MARNIE,0.004,1498,Female
LULU,0.004,1499,Female
LISETTE,0.004,1500,Female
JENIFFER,0.004,1501,Female
ELENOR,0.004,1502,Female
DORINDA,0.004,1503,Female
DONITA,0.004,1504,Female
CARMAN,0.004,1505,Female
BERNITA,0.004,1506,Female
ALTAGRACIA,0.004,1507,Female
ALETA,0.004,1508,Female
ADRIANNA,0.004,1509,Female
ZORAIDA,0.004,1510,Female
RONNIE,0.004,1511,Female
NICOLA,0.004,1512,Female
LYNDSEY,0.004,1513,Female
KENDALL,0.004,1514,Female
JANINA,0.004,1515,Female
CHRISSY,0.004,1516,Female
AMI,0.004,1517,Female
STARLA,0.004,1518,Female
PHYLIS,0.004,1519,Female
PHUONG,0.004,1520,Female
KYRA,0.004,1521,Female
CHARISSE,0.004,1522,Female
BLANCH,0.004,1523,Female
SANJUANITA,0.004,1524,Female
RONA,0.004,1525,Female
NANCI,0.004,1526,Female
MARILEE,0.004,1527,Female
MARANDA,0.004,1528,Female
CORY,0.004,1529,Female
BRIGETTE,0.004,1530,Female
SANJUANA,0.004,1531,Female
MARITA,0.004,1532,Female
KASSANDRA,0.004,1533,Female
JOYCELYN,0.004,1534,Female
IRA,0.004,1535,Female
FELIPA,0.004,1536,Female
CHELSIE,0.004,1537,Female
BONNY,0.004,1538,Female
MIREYA,0.004,1539,Female
LORENZA,0.004,1540,Female
KYONG,0.004,1541,Female
ILEANA,0.004,1542,Female
CANDELARIA,0.004,1543,Female
TONY,0.004,1544,Female
TOBY,0.004,1545,Female
SHERIE,0.004,1546,Female
OK,0.004,1547,Female
MARK,0.004,1548,Female
LUCIE,0.004,1549,Female
LEATRICE,0.004,1550,Female
LAKESHIA,0.004,1551,Female
GERDA,0.004,1552,Female
EDIE,0.004,1553,Female
BAMBI,0.004,1554,Female
MARYLIN,0.004,1555,Female
LAVON,0.004,1556,Female
HORTENSE,0.004,1557,Female
GARNET,0.004,1558,Female
EVIE,0.004,1559,Female
TRESSA,0.004,1560,Female
SHAYNA,0.004,1561,Female
LAVINA,0.004,1562,Female
KYUNG,0.004,1563,Female
JEANETTA,0.004,1564,Female
SHERRILL,0.004,1565,Female
SHARA,0.004,1566,Female
PHYLISS,0.004,1567,Female
MITTIE,0.004,1568,Female
ANABEL,0.004,1569,Female
ALESIA,0.004,1570,Female
THUY,0.004,1571,Female
TAWANDA,0.004,1572,Female
RICHARD,0.004,1573,Female
JOANIE,0.004,1574,Female
TIFFANIE,0.004,1575,Female
LASHANDA,0.004,1576,Female
KARISSA,0.004,1577,Female
ENRIQUETA,0.004,1578,Female
DARIA,0.004,1579,Female
DANIELLA,0.004,1580,Female
CORINNA,0.004,1581,Female
ALANNA,0.004,1582,Female
ABBEY,0.004,1583,Female
ROXANE,0.004,1584,Female
ROSEANNA,0.004,1585,Female
MAGNOLIA,0.004,1586,Female
LIDA,0.004,1587,Female
KYLE,0.004,1588,Female
JOELLEN,0.004,1589,Female
ERA,0.004,1590,Female
CORAL,0.004,1591,Female
CARLEEN,0.004,1592,Female
TRESA,0.004,1593,Female
PEGGIE,0.004,1594,Female
NOVELLA,0.004,1595,Female
NILA,0.004,1596,Female
MAYBELLE,0.004,1597,Female
JENELLE,0.004,1598,Female
CARINA,0.004,1599,Female
NOVA,0.004,1600,Female
MELINA,0.004,1601,Female
MARQUERITE,0.004,1602,Female
MARGARETTE,0.004,1603,Female
JOSEPHINA,0.004,1604,Female
EVONNE,0.004,1605,Female
DEVIN,0.004,1606,Female
CINTHIA,0.004,1607,Female
ALBINA,0.004,1608,Female
TOYA,0.004,1609,Female
TAWNYA,0.004,1610,Female
SHERITA,0.004,1611,Female
SANTOS,0.004,1612,Female
MYRIAM,0.004,1613,Female
LIZABETH,0.004,1614,Female
LISE,0.004,1615,Female
KEELY,0.004,1616,Female
JENNI,0.004,1617,Female
GISELLE,0.004,1618,Female
CHERYLE,0.004,1619,Female
ARDITH,0.004,1620,Female
ARDIS,0.004,1621,Female
ALESHA,0.004,1622,Female
ADRIANE,0.004,1623,Female
SHAINA,0.004,1624,Female
LINNEA,0.004,1625,Female
KAROLYN,0.004,1626,Female
HONG,0.004,1627,Female
FLORIDA,0.004,1628,Female
FELISHA,0.004,1629,Female
DORI,0.004,1630,Female
DARCI,0.004,1631,Female
ARTIE,0.004,1632,Female
ARMIDA,0.004,1633,Female
ZOLA,0.004,1634,Female
XIOMARA,0.004,1635,Female
VERGIE,0.004,1636,Female
SHAMIKA,0.004,1637,Female
NENA,0.004,1638,Female
NANNETTE,0.004,1639,Female
MAXIE,0.004,1640,Female
LOVIE,0.004,1641,Female
JEANE,0.004,1642,Female
JAIMIE,0.004,1643,Female
INGE,0.004,1644,Female
FARRAH,0.004,1645,Female
ELAINA,0.004,1646,Female
CAITLYN,0.004,1647,Female
STARR,0.004,1648,Female
FELICITAS,0.004,1649,Female
CHERLY,0.004,1650,Female
CARYL,0.004,1651,Female
YOLONDA,0.004,1652,Female
YASMIN,0.004,1653,Female
TEENA,0.004,1654,Female
PRUDENCE,0.004,1655,Female
PENNIE,0.004,1656,Female
NYDIA,0.004,1657,Female
MACKENZIE,0.004,1658,Female
ORPHA,0.004,1659,Female
MARVEL,0.004,1660,Female
LIZBETH,0.004,1661,Female
LAURETTE,0.004,1662,Female
JERRIE,0.004,1663,Female
HERMELINDA,0.004,1664,Female
CAROLEE,0.004,1665,Female
TIERRA,0.004,1666,Female
MIRIAN,0.004,1667,Female
META,0.004,1668,Female
MELONY,0.004,1669,Female
KORI,0.004,1670,Female
JENNETTE,0.004,1671,Female
JAMILA,0.004,1672,Female
ENA,0.004,1673,Female
ANH,0.004,1674,Female
YOSHIKO,0.004,1675,Female
SUSANNAH,0.004,1676,Female
SALINA,0.004,1677,Female
RHIANNON,0.004,1678,Female
JOLEEN,0.004,1679,Female
CRISTINE,0.004,1680,Female
ASHTON,0.004,1681,Female
ARACELY,0.004,1682,Female
TOMEKA,0.004,1683,Female
SHALONDA,0.004,1684,Female
MARTI,0.004,1685,Female
LACIE,0.004,1686,Female
KALA,0.004,1687,Female
JADA,0.004,1688,Female
ILSE,0.004,1689,Female
HAILEY,0.004,1690,Female
BRITTANI,0.004,1691,Female
ZONA,0.003,1692,Female
SYBLE,0.003,1693,Female
SHERRYL,0.003,1694,Female
RANDY,0.003,1695,Female
NIDIA,0.003,1696,Female
MARLO,0.003,1697,Female
KANDICE,0.003,1698,Female
KANDI,0.003,1699,Female
DEB,0.003,1700,Female
DEAN,0.003,1701,Female
AMERICA,0.003,1702,Female
ALYCIA,0.003,1703,Female
TOMMY,0.003,1704,Female
RONNA,0.003,1705,Female
NORENE,0.003,1706,Female
MERCY,0.003,1707,Female
JOSE,0.003,1708,Female
INGEBORG,0.003,1709,Female
GIOVANNA,0.003,1710,Female
GEMMA,0.003,1711,Female
CHRISTEL,0.003,1712,Female
AUDRY,0.003,1713,Female
ZORA,0.003,1714,Female
VITA,0.003,1715,Female
VAN,0.003,1716,Female
TRISH,0.003,1717,Female
STEPHAINE,0.003,1718,Female
SHIRLEE,0.003,1719,Female
SHANIKA,0.003,1720,Female
MELONIE,0.003,1721,Female
MAZIE,0.003,1722,Female
JAZMIN,0.003,1723,Female
INGA,0.003,1724,Female
HOA,0.003,1725,Female
HETTIE,0.003,1726,Female
GERALYN,0.003,1727,Female
FONDA,0.003,1728,Female
ESTRELLA,0.003,1729,Female
ADELLA,0.003,1730,Female
SU,0.003,1731,Female
SARITA,0.003,1732,Female
RINA,0.003,1733,Female
MILISSA,0.003,1734,Female
MARIBETH,0.003,1735,Female
GOLDA,0.003,1736,Female
EVON,0.003,1737,Female
ETHELYN,0.003,1738,Female
ENEDINA,0.003,1739,Female
CHERISE,0.003,1740,Female
CHANA,0.003,1741,Female
VELVA,0.003,1742,Female
TAWANNA,0.003,1743,Female
SADE,0.003,1744,Female
MIRTA,0.003,1745,Female
LI,0.003,1746,Female
KARIE,0.003,1747,Female
JACINTA,0.003,1748,Female
ELNA,0.003,1749,Female
DAVINA,0.003,1750,Female
CIERRA,0.003,1751,Female
ASHLIE,0.003,1752,Female
ALBERTHA,0.003,1753,Female
TANESHA,0.003,1754,Female
STEPHANI,0.003,1755,Female
NELLE,0.003,1756,Female
MINDI,0.003,1757,Female
LU,0.003,1758,Female
LORINDA,0.003,1759,Female
LARUE,0.003,1760,Female
FLORENE,0.003,1761,Female
DEMETRA,0.003,1762,Female
DEDRA,0.003,1763,Female
CIARA,0.003,1764,Female
CHANTELLE,0.003,1765,Female
ASHLY,0.003,1766,Female
SUZY,0.003,1767,Female
ROSALVA,0.003,1768,Female
NOELIA,0.003,1769,Female
LYDA,0.003,1770,Female
LEATHA,0.003,1771,Female
KRYSTYNA,0.003,1772,Female
KRISTAN,0.003,1773,Female
KARRI,0.003,1774,Female
DARLINE,0.003,1775,Female
DARCIE,0.003,1776,Female
CINDA,0.003,1777,Female
CHEYENNE,0.003,1778,Female
CHERRIE,0.003,1779,Female
AWILDA,0.003,1780,Female
ALMEDA,0.003,1781,Female
ROLANDA,0.003,1782,Female
LANETTE,0.003,1783,Female
JERILYN,0.003,1784,Female
GISELE,0.003,1785,Female
EVALYN,0.003,1786,Female
CYNDI,0.003,1787,Female
CLETA,0.003,1788,Female
CARIN,0.003,1789,Female
ZINA,0.003,1790,Female
ZENA,0.003,1791,Female
VELIA,0.003,1792,Female
TANIKA,0.003,1793,Female
PAUL,0.003,1794,Female
CHARISSA,0.003,1795,Female
THOMAS,0.003,1796,Female
TALIA,0.003,1797,Female
MARGARETE,0.003,1798,Female
LAVONDA,0.003,1799,Female
KAYLEE,0.003,1800,Female
KATHLENE,0.003,1801,Female
JONNA,0.003,1802,Female
IRENA,0.003,1803,Female
ILONA,0.003,1804,Female
IDALIA,0.003,1805,Female
CANDIS,0.003,1806,Female
CANDANCE,0.003,1807,Female
BRANDEE,0.003,1808,Female
ANITRA,0.003,1809,Female
ALIDA,0.003,1810,Female
SIGRID,0.003,1811,Female
NICOLETTE,0.003,1812,Female
MARYJO,0.003,1813,Female
LINETTE,0.003,1814,Female
HEDWIG,0.003,1815,Female
